class,green_area
row,55
col,130
wavelength_nm,value
816.7,1.0330000000000001e-05
818.02,6.660000000000001e-06
819.34,9.96e-06
820.66,1.673e-05
821.98,9.139999999999999e-06
823.3,9.26e-06
824.62,1.0019999999999999e-05
825.93,7.33e-06
827.25,1.21e-05
828.57,2.9870000000000004e-05
829.89,1.591e-05
831.21,7.3800000000000005e-06
832.53,7.94e-06
833.85,1.817e-05
835.16,2.7089999999999996e-05
836.48,6.2300000000000005e-06
837.8,1.9370000000000003e-05
839.12,7.98e-06
840.44,8.98e-06
841.76,1.91e-05
843.08,1.239e-05
844.4,7.45e-06
845.71,8.86e-06
847.03,1.2770000000000001e-05
848.35,1.131e-05
849.67,1.698e-05
850.99,9.69e-06
852.31,1.326e-05
853.63,1.027e-05
854.95,1.8540000000000002e-05
856.26,1.965e-05
857.58,7.97e-06
858.9,9.03e-06
860.22,1.767e-05
861.54,1.3500000000000001e-05
862.86,2.1079999999999998e-05
864.18,2.0419999999999998e-05
865.49,1.009e-05
866.81,1.499e-05
868.13,2.0039999999999998e-05
869.45,2.734e-05
870.77,2.012e-05
872.09,7.249999999999999e-06
873.41,6.2399999999999995e-06
874.73,2.1040000000000002e-05
876.04,2.438e-05
877.36,1.088e-05
878.68,2.118e-05
880.0,4.01e-06
881.32,9.110000000000001e-06
882.64,2.011e-05
883.96,1.326e-05
885.27,2.035e-05
886.59,1.551e-05
887.91,8.920000000000001e-06
889.23,1.97e-05
890.55,1.632e-05
891.87,8.13e-06
893.19,2.24e-05
894.51,1.0520000000000001e-05
895.82,1.4180000000000001e-05
897.14,1.9750000000000002e-05
898.46,7.26e-06
899.78,1.0209999999999999e-05
901.1,1.765e-05
902.42,1.08e-05
903.74,3.0220000000000002e-05
905.05,2.023e-05
906.37,8.81e-06
907.69,7.620000000000001e-06
909.01,2.154e-05
910.33,2.9599999999999998e-05
911.65,2.205e-05
912.97,1.908e-05
914.29,4.41e-06
915.6,1.9869999999999998e-05
916.92,1.728e-05
918.24,1.477e-05
919.56,2.16e-05
920.88,4.16e-06
922.2,1.1550000000000001e-05
923.52,1.983e-05
924.84,1.759e-05
926.15,7.620000000000001e-06
927.47,1.267e-05
928.79,1.221e-05
930.11,1.5120000000000001e-05
931.43,2.0150000000000002e-05
932.75,6.519999999999999e-06
934.07,9.2e-06
935.38,1.785e-05
936.7,1.322e-05
938.02,2.1720000000000002e-05
939.34,1.713e-05
940.66,6.89e-06
941.98,1.5060000000000001e-05
943.3,2.211e-05
944.62,3.04e-05
945.93,2e-05
947.25,1.0009999999999999e-05
948.57,8.37e-06
949.89,1.7860000000000002e-05
951.21,2.605e-05
952.53,1.293e-05
953.85,1.941e-05
955.16,5.77e-06
956.48,7.95e-06
957.8,1.926e-05
959.12,1.4210000000000001e-05
960.44,2.12e-05
961.76,1.53e-05
963.08,9.3e-06
964.4,2.071e-05
965.71,1.832e-05
967.03,8.11e-06
968.35,2.0300000000000002e-05
969.67,8.67e-06
970.99,1.348e-05
972.31,1.861e-05
973.63,8.010000000000001e-06
974.95,1.018e-05
976.26,1.7449999999999997e-05
977.58,1.197e-05
978.9,2.7900000000000004e-05
980.22,2.094e-05
981.54,7.2999999999999996e-06
982.86,7.81e-06
984.18,2.017e-05
985.49,2.892e-05
986.81,1.846e-05
988.13,1.955e-05
989.45,7.22e-06
990.77,1.8049999999999998e-05
992.09,2.0019999999999998e-05
993.41,1.781e-05
994.73,1.9450000000000002e-05
996.04,8.32e-06
997.36,1.167e-05
998.68,2.234e-05
1000.0,1.845e-05
